time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/n_updates,train/std
2382,1283,2627584,1102,1071.0,2.41132512,0.036652472,0.0003,1.5042819201946258,0.005070039398560766,0.2731356620788574,0.002023101809390937,0.326708984375,-0.03338869288563728,0.2,12820,0.1133718192577362
2384,1284,2629632,1102,1071.0,2.40852823,0.034252644,0.0003,1.5287417948246003,-0.0013860857739928178,0.2521365284919739,0.002162752888943942,0.35029296875,0.011857657693326473,0.2,12830,0.11185184121131897
2386,1285,2631680,1102,1071.0,2.41075815,0.03371843,0.0003,1.5515474926680326,0.0029304967043572105,0.2539014220237732,0.0018551491288235412,0.31220703125,-0.0062863691709935665,0.2,12840,0.11102533340454102
2388,1286,2633728,1102,1071.0,2.41531784,0.041131962,0.0003,1.5546485610306262,0.00224794392415788,0.2841694951057434,0.0019155499059706927,0.353515625,0.012042350135743618,0.2,12850,0.11138270795345306
2390,1287,2635776,1102,1071.0,2.4146489000000004,0.038197085,0.0003,1.551455906406045,-0.0009220809683029074,0.2843570113182068,0.0019096772304692422,0.308154296875,-0.018939824774861336,0.2,12860,0.11115752160549164
2392,1288,2637824,1102,1071.0,2.41545826,0.048487354,0.0003,1.5499578561633824,0.008078409264271613,0.27759069204330444,0.0019186342469765805,0.355810546875,-0.0227458905428648,0.2,12870,0.11178281903266907
2394,1289,2639872,1102,1071.0,2.41302792,0.02836637,0.0003,1.5383571162819862,-0.0025300928100477904,0.19960564374923706,0.0016600730084974202,0.317578125,-0.029632702469825745,0.2,12880,0.1124701052904129
2396,1290,2641920,1102,1071.0,2.41248672,0.039643902,0.0003,1.5348177239298821,0.0017728157268720678,0.2654321789741516,0.001944788804576092,0.3609375,0.005678050220012665,0.2,12890,0.11197816580533981
2398,1291,2643968,1102,1071.0,2.4140124,0.031499118,0.0003,1.5515530053526163,-0.0007846439693821594,0.2809920907020569,0.002007476220569515,0.321484375,-0.021953051909804344,0.2,12900,0.11076003313064575
2399,1292,2646016,1102,1071.0,2.4147647599999997,0.051056974,0.0003,1.5554525028914212,-0.00038333452539518476,0.2827650308609009,0.002040728076462983,0.357763671875,-0.006449566222727299,0.2,12910,0.11139660328626633
2401,1293,2648064,1102,1071.0,2.4117826900000003,0.03564012,0.0003,1.5485555984079837,-0.00025597268395358694,0.27226412296295166,0.002101503910671454,0.326611328125,0.017895113676786423,0.2,12920,0.11148987710475922
2403,1294,2650112,1102,1071.0,2.40969562,0.03647387,0.0003,1.537520983815193,0.0030822640197584405,0.27267593145370483,0.0019194925529518515,0.328173828125,0.03361348435282707,0.2,12930,0.11255402863025665
2405,1295,2652160,1102,1071.0,2.40793104,0.042988922,0.0003,1.512929617241025,0.005296755144081544,0.25898081064224243,0.0020373011768242575,0.3591796875,0.05398262292146683,0.2,12940,0.11472214758396149
2407,1296,2654208,1102,1071.0,2.40784123,0.03962263,0.0003,1.485775301232934,-0.0007062339544063434,0.2765194773674011,0.001911384247796377,0.33935546875,0.012235973961651325,0.2,12950,0.11518886685371399
2408,1297,2656256,1102,1071.0,2.40596381,0.027942356,0.0003,1.4806661792099476,-0.0016482568753417581,0.27780330181121826,0.0018854456053304602,0.30419921875,-0.02063729614019394,0.2,12960,0.11551675200462341
2410,1298,2658304,1102,1071.0,2.4001963200000005,0.03986039,0.0003,1.481378573179245,0.0005984672257909551,0.27986371517181396,0.001952972851722734,0.32744140625,0.04182611405849457,0.2,12970,0.11524062603712082
2412,1299,2660352,1102,1071.0,2.3999311199999998,0.045995645,0.0003,1.4627470523118973,0.004152536670153495,0.27958768606185913,0.0018793007497151849,0.33671875,0.020665328949689865,0.2,12980,0.11746889352798462
2414,1300,2662400,1102,1071.0,2.3990700899999995,0.03021383,0.0003,1.4516610942780972,0.004696776568016503,0.22759640216827393,0.0015695032985604484,0.33857421875,0.04819578304886818,0.2,12990,0.1166820228099823
2415,1301,2664448,1102,1071.0,2.3973735199999995,0.038048543,0.0003,1.4716148447245359,-0.0023163507605204357,0.27062731981277466,0.0018095563742463127,0.337060546875,0.027805382385849953,0.2,13000,0.11563588678836823
2417,1302,2666496,1102,1071.0,2.40511223,0.041574005,0.0003,1.4828933030366898,-0.002871294447686523,0.2569132447242737,0.0018715870084633935,0.340625,0.027648312970995903,0.2,13010,0.11502854526042938
2419,1303,2668544,1102,1071.0,2.41048127,0.031369213,0.0003,1.4812456216663121,-0.003129937470657751,0.2739759683609009,0.0017453205731726485,0.3271484375,0.015291745774447918,0.2,13020,0.11569860577583313
2421,1304,2670592,1102,1071.0,2.40540693,0.03986182,0.0003,1.4714052017778159,0.0045101369585609065,0.27956056594848633,0.001857013713197375,0.35048828125,-0.03150289133191109,0.2,13030,0.1161150261759758
2423,1305,2672640,1102,1071.0,2.40990234,0.04250385,0.0003,1.4804431267082692,0.00040555675368523223,0.27432942390441895,0.0020002981818834087,0.322216796875,0.00190004613250494,0.2,13040,0.1149672120809555
2424,1306,2674688,1103,1071.0,2.4120296000000003,0.058409326,0.0003,1.5091194100677967,0.0024500144907506185,0.266048789024353,0.0019561097979021724,0.347021484375,0.011215383186936378,0.2,13050,0.11304575204849243
2426,1307,2676736,1103,1071.0,2.40953408,0.051798895,0.0003,1.5169776558876038,0.0014916350512066856,0.27003365755081177,0.0018263622423546622,0.354296875,0.006022365763783455,0.2,13060,0.11358984559774399
