time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/std,train/policy_gradient_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
4030,1152,585,2359296,41.44669378995896,21.8004093170166,0.022870004177093506,0.226708984375,2.5654381990432737,0.0003,11510,0.2,0.06701133400201797,-0.0018749182156170719,0.026253385,432.99361663999997,9989.0
4033,1153,585,2361344,50.549420869350435,19.422542572021484,0.0133475661277771,0.219189453125,2.5599985010921955,0.0003,11520,0.2,0.06756596267223358,0.003890703468641732,0.01419375,432.99361663999997,9989.0
4037,1154,585,2363392,51.620770478248595,26.335834503173828,0.0076406002044677734,0.18857421875,2.5479138664901257,0.0003,11530,0.2,0.0678439736366272,0.0030604420127929187,0.017091837,432.99361663999997,9989.0
4040,1155,585,2365440,46.82489756345749,23.770917892456055,0.012096405029296875,0.20888671875,2.5628442853689193,0.0003,11540,0.2,0.06670813262462616,0.0018402045214315876,0.019568142,432.99361663999997,9989.0
4044,1156,585,2367488,43.53377351164818,13.929574966430664,0.004333198070526123,0.2439453125,2.58320534452796,0.0003,11550,0.2,0.0664065033197403,0.005777843840769492,0.015998967,434.29571663999997,9989.0
4047,1157,585,2369536,45.620356631278995,18.59615707397461,-0.0006536245346069336,0.22978515625,2.5854975380003453,0.0003,11560,0.2,0.06653034687042236,0.0015650332024961244,0.026333129,434.29571663999997,9989.0
4051,1158,585,2371584,46.9435437977314,21.622514724731445,0.018038511276245117,0.2078125,2.5922188229858873,0.0003,11570,0.2,0.06608667969703674,0.002321223467879463,0.016301543,434.29571663999997,9989.0
4054,1159,585,2373632,51.8156401515007,24.831954956054688,-0.006853818893432617,0.22451171875,2.598453103005886,0.0003,11580,0.2,0.06606066226959229,0.003938441204081755,0.018004885,434.29571663999997,9989.0
4057,1160,585,2375680,43.30870904922485,16.071727752685547,-0.025052905082702637,0.21162109375,2.6138934291899205,0.0003,11590,0.2,0.06511206924915314,0.004142028208298143,0.022142962,434.29571663999997,9989.0
4061,1161,585,2377728,41.176472342014314,18.165735244750977,-0.003974437713623047,0.226318359375,2.61309213116765,0.0003,11600,0.2,0.06595435738563538,0.001809272522223182,0.026963027,435.87395553000005,9989.0
4064,1162,585,2379776,42.9509716629982,19.671281814575195,0.017014622688293457,0.2474609375,2.6143343724310397,0.0003,11610,0.2,0.06517133116722107,0.004798025196942035,0.022361964,435.87395553000005,9989.0
4068,1163,585,2381824,47.21040841937065,26.8513126373291,0.013203799724578857,0.23837890625,2.6212271347641947,0.0003,11620,0.2,0.06536935269832611,0.00578765981917968,0.024359364,435.87395553000005,9989.0
4071,1164,585,2383872,52.09919264316559,29.170818328857422,0.01008296012878418,0.206396484375,2.6159573413431643,0.0003,11630,0.2,0.0655563473701477,0.006277187658997718,0.011673025,435.87395553000005,9989.0
4075,1165,585,2385920,47.56290355324745,19.73928451538086,-0.01183617115020752,0.2265625,2.6047099784016607,0.0003,11640,0.2,0.06609010696411133,0.002428340571350418,0.01728169,435.87395553000005,9989.0
4078,1166,585,2387968,36.528670406341554,19.521238327026367,0.005265951156616211,0.19990234375,2.6084154464304445,0.0003,11650,0.2,0.06541310250759125,0.002558818033139687,0.027446896,437.7933222,9989.0
4081,1167,585,2390016,45.38124179244041,25.821809768676758,0.03193032741546631,0.21572265625,2.617310024052858,0.0003,11660,0.2,0.06538881361484528,0.0017287145092268474,0.020102331,437.7933222,9989.0
4085,1168,585,2392064,45.25100494027138,27.727392196655273,0.011819839477539062,0.190380859375,2.6295371308922766,0.0003,11670,0.2,0.06469510495662689,0.005192698878818192,0.01843651,437.7933222,9989.0
4089,1169,585,2394112,48.33468127846718,22.029428482055664,0.009613633155822754,0.19169921875,2.629843769967556,0.0003,11680,0.2,0.0651978850364685,0.008221110049635171,0.011472506,437.7933222,9989.0
4092,1170,585,2396160,51.92865122556687,26.496667861938477,-0.028685450553894043,0.21630859375,2.6255647629499435,0.0003,11690,0.2,0.06510987877845764,0.005060207717178855,0.02281259,437.7933222,9989.0
4096,1171,585,2398208,43.48919590115547,24.26803970336914,0.015090644359588623,0.216796875,2.640984142571688,0.0003,11700,0.2,0.0641845315694809,0.0027733099603210578,0.019867606,440.92429997999994,9989.0
4099,1172,585,2400256,45.35400030016899,30.15683364868164,0.011811614036560059,0.215380859375,2.662371825426817,0.0003,11710,0.2,0.06385257840156555,0.003227676055394113,0.018269576,440.92429997999994,9989.0
4102,1173,585,2402304,47.76242161393166,22.548969268798828,0.01146245002746582,0.21318359375,2.657957711815834,0.0003,11720,0.2,0.06428147852420807,0.005031184238032438,0.023091707,440.92429997999994,9989.0
4106,1174,585,2404352,51.24115929603577,26.650686264038086,0.010413944721221924,0.2033203125,2.6607530653476714,0.0003,11730,0.2,0.06379138678312302,0.004860754318360705,0.015967518,440.92429997999994,9989.0
4110,1175,585,2406400,42.36734967827797,14.572383880615234,-0.03638279438018799,0.212890625,2.672568327188492,0.0003,11740,0.2,0.06346295773983002,0.005207295207947027,0.022746691,440.92429997999994,9989.0
4114,1176,585,2408448,45.750607615709306,15.875792503356934,0.026448547840118408,0.23818359375,2.6751594848930838,0.0003,11750,0.2,0.06354619562625885,0.0020950571517460046,0.027763449,443.7538833100001,9989.0
4118,1177,585,2410496,48.23790879249573,25.696165084838867,0.014376699924468994,0.226416015625,2.6753656424582006,0.0003,11760,0.2,0.0634971559047699,0.004979210287274327,0.01469464,443.7538833100001,9989.0
4122,1178,585,2412544,44.95295685529709,21.212724685668945,0.013600945472717285,0.23740234375,2.6760343603789805,0.0003,11770,0.2,0.06351769715547562,0.007408702792599797,0.02324038,443.7538833100001,9989.0
4126,1179,585,2414592,55.91238936185837,29.02642059326172,0.0064841508865356445,0.219287109375,2.6871084861457346,0.0003,11780,0.2,0.062898188829422,0.004136928063235246,0.016116818,443.7538833100001,9989.0
4130,1180,585,2416640,47.377467286586764,14.913531303405762,-0.04936254024505615,0.210986328125,2.6974080853164195,0.0003,11790,0.2,0.06278067082166672,0.003249967902956996,0.018672522,443.7538833100001,9989.0
4134,1181,585,2418688,43.38567595481872,21.10565757751465,0.031266629695892334,0.217138671875,2.695031000673771,0.0003,11800,0.2,0.06300192326307297,0.002767699706600979,0.025859509,444.51448887,9989.0
4137,1182,585,2420736,46.50626161694527,20.833574295043945,0.006187617778778076,0.26494140625,2.6894016414880753,0.0003,11810,0.2,0.063189297914505,0.012753421877278015,0.02745448,444.51448887,9989.0
4141,1183,585,2422784,48.74045457839966,29.644472122192383,0.010162830352783203,0.23447265625,2.685287678986788,0.0003,11820,0.2,0.06333910673856735,0.003858934919844614,0.013285897,444.51448887,9989.0
4144,1184,585,2424832,53.836490428447725,24.54813575744629,0.013849377632141113,0.219775390625,2.6919658072292805,0.0003,11830,0.2,0.06276746094226837,0.0038882614200701935,0.019098308,444.51448887,9989.0
4148,1185,584,2426880,37.13939393758774,21.772977828979492,-0.027448296546936035,0.251416015625,2.699728537350893,0.0003,11840,0.2,0.06284070014953613,0.005677509475208353,0.016539434,444.51448887,9989.0
4152,1186,584,2428928,45.75050866603851,21.33888816833496,0.02266538143157959,0.262841796875,2.7036486133933066,0.0003,11850,0.2,0.06256179511547089,0.003826476172253024,0.032644324,447.1656611,9989.0
4156,1187,584,2430976,49.148400229215625,17.852169036865234,0.012157797813415527,0.23583984375,2.7052891477942467,0.0003,11860,0.2,0.06274144351482391,0.005357701152388472,0.024699971,447.1656611,9989.0
4160,1188,584,2433024,51.29483263492584,23.183822631835938,0.0082244873046875,0.230078125,2.7067738443613054,0.0003,11870,0.2,0.062391094863414764,0.007995339069748298,0.017223006,447.1656611,9989.0
