,time,open,high,low,close,tick_volume,spread,real_volume,account_balance
4923,2021-10-25 07:00:00,0.74872,0.74882,0.74816,0.74866,1058,0,0,10000
4924,2021-10-25 08:00:00,0.74865,0.74894,0.74818,0.74877,1256,0,0,10000
4925,2021-10-25 09:00:00,0.74878,0.74924,0.74792,0.74806,2782,0,0,10000
4926,2021-10-25 10:00:00,0.74805,0.75008,0.7478,0.75002,2705,0,0,10000
4927,2021-10-25 11:00:00,0.75006,0.75052,0.74975,0.74979,2535,0,0,10000
4928,2021-10-25 12:00:00,0.74979,0.74994,0.74781,0.74808,2188,0,0,10000
4929,2021-10-25 13:00:00,0.74808,0.74921,0.74791,0.74901,1654,0,0,10000
4930,2021-10-25 14:00:00,0.74901,0.74953,0.74824,0.74867,1936,0,0,10000
4931,2021-10-25 15:00:00,0.74866,0.74931,0.74791,0.74816,3257,0,0,10000
4932,2021-10-25 16:00:00,0.74815,0.74954,0.74754,0.74873,4615,0,0,10000
4933,2021-10-25 17:00:00,0.74873,0.74956,0.74823,0.74931,4193,0,0,10000
4934,2021-10-25 18:00:00,0.7493,0.7498,0.74909,0.74939,1941,0,0,10000
4935,2021-10-25 19:00:00,0.7494,0.74943,0.74888,0.74897,1555,0,0,10000
4936,2021-10-25 20:00:00,0.749,0.74958,0.749,0.74935,1062,0,0,10000
4937,2021-10-25 21:00:00,0.74935,0.74975,0.74929,0.7496,1193,0,0,10000
4938,2021-10-25 22:00:00,0.74961,0.74961,0.74909,0.74934,1391,0,0,10000
4939,2021-10-25 23:00:00,0.74936,0.74949,0.74909,0.74918,960,0,0,10000
4940,2021-10-26 00:00:00,0.74873,0.74913,0.7485,0.74902,127,11,0,10000
4941,2021-10-26 01:00:00,0.74903,0.74916,0.7487,0.7487,285,0,0,10000
4942,2021-10-26 02:00:00,0.74868,0.74916,0.74844,0.74915,519,0,0,10000
4943,2021-10-26 03:00:00,0.74917,0.75003,0.74916,0.74969,1438,0,0,10000
4944,2021-10-26 04:00:00,0.74969,0.75111,0.74949,0.75,2314,0,0,10000
4945,2021-10-26 05:00:00,0.75001,0.75063,0.74963,0.75062,2160,0,0,10000
4946,2021-10-26 06:00:00,0.75062,0.75142,0.74998,0.75139,1518,0,0,10000
4947,2021-10-26 07:00:00,0.75139,0.75176,0.75099,0.75146,1004,0,0,10000
4948,2021-10-26 08:00:00,0.75145,0.75152,0.75042,0.75078,1421,0,0,10000
4949,2021-10-26 09:00:00,0.75081,0.75143,0.75045,0.75083,1768,0,0,10000
4950,2021-10-26 10:00:00,0.75084,0.75124,0.74893,0.74945,3453,0,0,10000
4951,2021-10-26 11:00:00,0.74946,0.75047,0.74916,0.75036,2413,0,0,10000
4952,2021-10-26 12:00:00,0.75035,0.7506,0.74967,0.74982,1616,0,0,10000
4953,2021-10-26 13:00:00,0.74986,0.75101,0.74985,0.75086,1589,0,0,10000
4954,2021-10-26 14:00:00,0.75086,0.75185,0.75083,0.75134,1492,0,0,10000
4955,2021-10-26 15:00:00,0.75133,0.75255,0.75081,0.75218,2406,0,0,10000
4956,2021-10-26 16:00:00,0.75217,0.75222,0.75065,0.75153,3011,0,0,10000
4957,2021-10-26 17:00:00,0.75153,0.75186,0.75078,0.75124,3575,0,0,10000
4958,2021-10-26 18:00:00,0.75124,0.75129,0.74955,0.74971,3139,0,0,10000
4959,2021-10-26 19:00:00,0.74971,0.75003,0.74908,0.74974,2406,0,0,10000
4960,2021-10-26 20:00:00,0.74972,0.7503,0.74947,0.75022,1921,0,0,10000
4961,2021-10-26 21:00:00,0.7502,0.75071,0.7502,0.7507,1242,0,0,10000
4962,2021-10-26 22:00:00,0.7507,0.75093,0.7503,0.75042,1958,0,0,10000
4963,2021-10-26 23:00:00,0.75045,0.7506,0.75002,0.75002,1093,0,0,10000
4964,2021-10-27 00:00:00,0.74983,0.75029,0.7495,0.74991,300,7,0,10000
4965,2021-10-27 01:00:00,0.74992,0.7507,0.74983,0.75045,720,0,0,10000
4966,2021-10-27 02:00:00,0.75045,0.75133,0.75029,0.75123,970,0,0,10000
4967,2021-10-27 03:00:00,0.75124,0.7533,0.75092,0.753,2879,0,0,10000
4968,2021-10-27 04:00:00,0.753,0.75361,0.75187,0.75187,2487,0,0,10000
4969,2021-10-27 05:00:00,0.75187,0.75274,0.75182,0.75237,1394,0,0,10000
4970,2021-10-27 06:00:00,0.75237,0.75286,0.75196,0.75196,1461,0,0,10000
4971,2021-10-27 07:00:00,0.75198,0.75282,0.75169,0.7526,939,0,0,10000
4972,2021-10-27 08:00:00,0.75261,0.75277,0.75126,0.75183,1451,0,0,10000
4973,2021-10-27 09:00:00,0.75182,0.75297,0.75138,0.75282,1859,0,0,10000
4974,2021-10-27 10:00:00,0.75283,0.75318,0.75097,0.75131,3341,0,0,10000
4975,2021-10-27 11:00:00,0.75132,0.75158,0.74884,0.74911,3206,0,0,10000
4976,2021-10-27 12:00:00,0.74911,0.75017,0.74873,0.75004,2957,0,0,10000
4977,2021-10-27 13:00:00,0.75004,0.7502,0.74943,0.74977,1968,0,0,10000
4978,2021-10-27 14:00:00,0.74978,0.75077,0.74959,0.75072,2037,0,0,10000
4979,2021-10-27 15:00:00,0.7507,0.75204,0.75068,0.75116,3205,0,0,10000
4980,2021-10-27 16:00:00,0.75114,0.75185,0.75032,0.7516,3902,0,0,10000
4981,2021-10-27 17:00:00,0.7516,0.753,0.75049,0.75068,6350,0,0,10000
4982,2021-10-27 18:00:00,0.75068,0.75158,0.75059,0.75149,3123,0,0,10000
4983,2021-10-27 19:00:00,0.7515,0.75289,0.75141,0.75268,2113,0,0,10000
4984,2021-10-27 20:00:00,0.75268,0.7535,0.75262,0.75292,1697,0,0,10000
4985,2021-10-27 21:00:00,0.7529,0.75295,0.75227,0.75255,1557,0,0,10000
4986,2021-10-27 22:00:00,0.75256,0.75257,0.75139,0.75194,2903,0,0,10000
