,time,open,high,low,close,tick_volume,spread,real_volume
3712,2020-08-13 16:00:00,76.666,76.682,76.584,76.663,5957,0,0
3713,2020-08-13 17:00:00,76.663,76.691,76.566,76.672,6287,0,0
3714,2020-08-13 18:00:00,76.671,76.686,76.49,76.542,4249,0,0
3715,2020-08-13 19:00:00,76.543,76.563,76.519,76.554,2355,0,0
3716,2020-08-13 20:00:00,76.554,76.581,76.495,76.553,3214,0,0
3717,2020-08-13 21:00:00,76.553,76.565,76.353,76.356,4378,0,0
3718,2020-08-13 22:00:00,76.356,76.409,76.315,76.372,2636,0,0
3719,2020-08-13 23:00:00,76.37,76.471,76.363,76.418,1417,0,0
3720,2020-08-14 00:00:00,76.435,76.483,76.344,76.422,325,10,0
3721,2020-08-14 01:00:00,76.422,76.498,76.407,76.486,1229,1,0
3722,2020-08-14 02:00:00,76.486,76.542,76.432,76.466,1619,0,0
3723,2020-08-14 03:00:00,76.467,76.482,76.365,76.37,3140,0,0
3724,2020-08-14 04:00:00,76.369,76.422,76.335,76.371,2848,0,0
3725,2020-08-14 05:00:00,76.371,76.381,76.313,76.354,2003,0,0
3726,2020-08-14 06:00:00,76.354,76.399,76.279,76.385,1560,0,0
3727,2020-08-14 07:00:00,76.385,76.447,76.38,76.387,1131,0,0
3728,2020-08-14 08:00:00,76.387,76.485,76.372,76.472,1692,0,0
3729,2020-08-14 09:00:00,76.472,76.504,76.393,76.393,2902,0,0
3730,2020-08-14 10:00:00,76.393,76.426,76.289,76.33,4122,0,0
3731,2020-08-14 11:00:00,76.33,76.367,76.238,76.28,3296,0,0
3732,2020-08-14 12:00:00,76.28,76.282,76.149,76.242,2890,0,0
3733,2020-08-14 13:00:00,76.242,76.288,76.197,76.242,2838,0,0
3734,2020-08-14 14:00:00,76.242,76.34,76.231,76.283,2486,0,0
3735,2020-08-14 15:00:00,76.283,76.336,76.217,76.237,3838,0,0
3736,2020-08-14 16:00:00,76.237,76.316,76.181,76.298,4946,0,0
3737,2020-08-14 17:00:00,76.298,76.373,76.189,76.339,6219,0,0
3738,2020-08-14 18:00:00,76.338,76.35,76.29,76.323,3305,0,0
3739,2020-08-14 19:00:00,76.323,76.401,76.32,76.372,2312,0,0
3740,2020-08-14 20:00:00,76.372,76.434,76.367,76.412,1905,0,0
3741,2020-08-14 21:00:00,76.412,76.446,76.402,76.444,1372,0,0
3742,2020-08-14 22:00:00,76.444,76.484,76.41,76.459,1656,0,0
3743,2020-08-14 23:00:00,76.46,76.498,76.416,76.428,1215,0,0
3744,2020-08-17 00:00:00,76.361,76.542,76.336,76.452,249,33,0
3745,2020-08-17 01:00:00,76.452,76.538,76.449,76.499,1209,0,0
3746,2020-08-17 02:00:00,76.499,76.656,76.488,76.642,1654,0,0
3747,2020-08-17 03:00:00,76.642,76.678,76.534,76.653,3231,0,0
3748,2020-08-17 04:00:00,76.653,76.653,76.514,76.532,2860,0,0
3749,2020-08-17 05:00:00,76.532,76.671,76.532,76.632,2235,0,0
3750,2020-08-17 06:00:00,76.633,76.639,76.496,76.52,1334,0,0
3751,2020-08-17 07:00:00,76.52,76.547,76.451,76.494,1511,0,0
3752,2020-08-17 08:00:00,76.494,76.532,76.461,76.514,1175,0,0
3753,2020-08-17 09:00:00,76.514,76.557,76.465,76.477,2635,0,0
3754,2020-08-17 10:00:00,76.477,76.487,76.362,76.465,4134,0,0
3755,2020-08-17 11:00:00,76.464,76.473,76.349,76.454,3762,0,0
3756,2020-08-17 12:00:00,76.454,76.478,76.395,76.476,3188,0,0
3757,2020-08-17 13:00:00,76.476,76.478,76.391,76.411,2726,0,0
3758,2020-08-17 14:00:00,76.414,76.449,76.36,76.407,3159,0,0
3759,2020-08-17 15:00:00,76.408,76.48,76.364,76.454,3865,0,0
3760,2020-08-17 16:00:00,76.454,76.603,76.435,76.546,4478,0,0
