time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/std,train/clip_fraction,train/learning_rate
8065024,3938,1.78963435,9080,888,1071.0,0.0008697158866198152,0.2449486255645752,0.007052778149954975,0.041606203,0.043135859072208405,2.5204749442636967,39370,0.2,0.06973128020763397,0.286865234375,0.0003
8067072,3939,1.7862878299999998,9082,888,1071.0,0.0009743478667587624,0.28006017208099365,0.008031403413042426,0.040264472,0.016614627093076706,2.5018654122948645,39380,0.2,0.07061581313610077,0.3486328125,0.0003
8069120,3940,1.7813730899999998,9084,888,1071.0,0.001028219555155374,0.2908749580383301,0.007761369523359462,0.03893248,0.023185187950730324,2.4778514325618746,39390,0.2,0.07127594947814941,0.332861328125,0.0003
8071168,3941,1.78175538,9086,888,1071.0,0.0010217020474556193,0.239427387714386,0.0075924667151412,0.049364574,0.018872924149036407,2.464882627874613,39400,0.2,0.07177159190177917,0.33662109375,0.0003
8073216,3942,1.7814881400000002,9089,888,1071.0,0.0009769271337972895,0.29127365350723267,0.004139629617566243,0.032414936,0.0009216255275532603,2.454238408058882,39410,0.2,0.07216949015855789,0.319384765625,0.0003
8075264,3943,1.78409243,9091,888,1071.0,0.0009902930236421526,0.2979310154914856,0.006695957508054562,0.030175472,-0.005643549840897322,2.4496827214956283,39420,0.2,0.07216097414493561,0.30576171875,0.0003
8077312,3944,1.7805548399999997,9093,888,1071.0,0.0009385668572576833,0.30915671586990356,0.0006440168857807293,0.04845154,-0.021089540794491768,2.449102010577917,39430,0.2,0.07238245755434036,0.324560546875,0.0003
8079360,3945,1.7828190499999996,9096,888,1071.0,0.0010844806771274306,0.27921032905578613,0.005365093114960473,0.044055536,0.0070326426066458225,2.4552311301231384,39440,0.2,0.07167954742908478,0.298486328125,0.0003
8081408,3946,1.7831578699999997,9098,888,1071.0,0.0009694397518615006,0.22366011142730713,0.0035024471988435836,0.037709113,-0.027353636920452118,2.4640232741832735,39450,0.2,0.07148072868585587,0.3009765625,0.0003
8083456,3947,1.7810016899999999,9100,888,1071.0,0.0009459320568566909,0.25299471616744995,0.006935859631630592,0.0331335,0.03586585819721222,2.472718032449484,39460,0.2,0.07106804847717285,0.33505859375,0.0003
8085504,3948,1.78042678,9103,888,1071.0,0.0010027657891441776,0.2927095293998718,0.010650904561043718,0.048514567,-0.041155166923999786,2.468980747461319,39470,0.2,0.07169094681739807,0.332373046875,0.0003
8087552,3949,1.77865261,9105,888,1071.0,0.0009247472868082696,0.24502485990524292,0.010194809315726161,0.057689838,-0.0018052797531709075,2.449144919961691,39480,0.2,0.07248972356319427,0.354638671875,0.0003
8089600,3950,1.7779391399999998,9107,888,1071.0,0.0009490602154983207,0.2550036907196045,0.00838400551583618,0.04893076,-0.0026579515542834997,2.442037820070982,39490,0.2,0.07240771502256393,0.307421875,0.0003
8091648,3951,1.77707417,9109,888,1071.0,0.0009473497352701088,0.300029456615448,0.003965737391263246,0.04574336,0.025149034336209297,2.4457742512226104,39500,0.2,0.07217906415462494,0.32890625,0.0003
8093696,3952,1.77492566,9112,888,1071.0,0.0008886339162017976,0.29684895277023315,0.0013609512127004564,0.03497166,0.017909565940499306,2.4544650353491306,39510,0.2,0.07187321782112122,0.33427734375,0.0003
8095744,3953,1.77356704,9114,888,1071.0,0.0009455330467062594,0.27854132652282715,-0.0007846966036595404,0.073398255,-0.06532193720340729,2.4526215329766274,39520,0.2,0.07214172184467316,0.316064453125,0.0003
8097792,3954,1.7718735600000002,9116,888,1071.0,0.0009218720972967275,0.2926345467567444,0.0011021224578144028,0.041551277,0.004328378476202488,2.4472178034484386,39530,0.2,0.07231104373931885,0.3033203125,0.0003
8099840,3955,1.7688879800000004,9119,888,1071.0,0.0008047917195654009,0.2588973045349121,0.005148060360806994,0.051277075,-0.009861859492957592,2.4511697240173818,39540,0.2,0.07189251482486725,0.333935546875,0.0003
8101888,3956,1.7668285499999998,9121,888,1071.0,0.0009218822537150117,0.2765873074531555,0.004030259411956649,0.049175404,0.0140394801273942,2.446618653833866,39550,0.2,0.07240382581949234,0.2998046875,0.0003
8103936,3957,1.76708125,9123,888,1071.0,0.001042231593055476,0.2652079463005066,0.010161279872409067,0.038429335,0.010941282846033573,2.4462274640798567,39560,0.2,0.07189933210611343,0.320556640625,0.0003
8105984,3958,1.7679566599999998,9126,888,1071.0,0.000992681836578413,0.25535571575164795,0.010325150526477955,0.05651685,-0.016172628849744797,2.4625254213809966,39570,0.2,0.07128807157278061,0.310205078125,0.0003
8108032,3959,1.76782089,9128,888,1071.0,0.0008238464424721315,0.26244550943374634,0.007774144568247721,0.046851948,0.014093886129558086,2.470336437225342,39580,0.2,0.07141773402690887,0.324560546875,0.0003
8110080,3960,1.7702307700000004,9130,888,1071.0,0.0009532805961498525,0.27914321422576904,0.005449589145428035,0.041758645,-0.007295157294720411,2.4736889891326426,39590,0.2,0.07109711319208145,0.306201171875,0.0003
8112128,3961,1.77520747,9132,888,1071.0,0.0009615581871003087,0.24288499355316162,0.005171117786085233,0.05833415,-0.01424351241439581,2.4551248773932457,39600,0.2,0.07228003442287445,0.351513671875,0.0003
8114176,3962,1.77479771,9135,888,1071.0,0.0009614828063604364,0.2952294945716858,0.005430821276968345,0.041105352,0.03196550905704498,2.442211776226759,39610,0.2,0.07249192893505096,0.293359375,0.0003
8116224,3963,1.7741404600000001,9137,888,1071.0,0.0009898332653392572,0.2919313907623291,0.00507591366476845,0.04017955,0.013938776217401028,2.427632164210081,39620,0.2,0.07337573915719986,0.331787109375,0.0003
8118272,3964,1.7742341200000005,9139,888,1071.0,0.0008965097663349297,0.28429776430130005,0.004046107610338368,0.04475116,0.012877010740339756,2.4226218864321707,39630,0.2,0.07300024479627609,0.291259765625,0.0003
8120320,3965,1.77389631,9142,888,1071.0,0.0009201846879477671,0.29075121879577637,0.0008184888254618272,0.030679364,-0.035919979214668274,2.4296575829386713,39640,0.2,0.07266122847795486,0.297314453125,0.0003
8122368,3966,1.7766106299999997,9144,888,1071.0,0.0009025932376061973,0.3104376196861267,0.002559697280230466,0.04867564,-0.04615561291575432,2.4240221343934536,39650,0.2,0.07332614809274673,0.32880859375,0.0003
