Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1080,138040,2024-03-08,10868.079999999993,1.0,1,0.0,0.14453759409100314,True,127,139,266,"{'r': 0.144538, 'l': 1070, 't': 339.166824}",False
1080,139110,2024-03-08,10181.749999999998,1.0,1,0.0,0.07353236432212798,True,124,142,266,"{'r': 0.073532, 'l': 1070, 't': 341.635903}",False
1080,140180,2024-03-08,9881.299999999992,-0.31361324,2,0.0,0.04196362235652274,True,117,143,260,"{'r': 0.041964, 'l': 1070, 't': 344.093969}",False
1080,141250,2024-03-08,7959.970000000003,-0.26734334,1,0.0,-0.17316771090988695,True,124,149,273,"{'r': -0.173168, 'l': 1070, 't': 346.586225}",False
1080,142320,2024-03-08,5259.689999999991,-0.20441213,0,-0.01206441869900368,-0.5900143881743701,True,118,170,288,"{'r': -0.590014, 'l': 1070, 't': 349.087883}",False
1080,143390,2024-03-08,7326.500000000011,-0.31158173,0,-0.012063171861768389,-0.26046678638900533,True,132,156,288,"{'r': -0.260467, 'l': 1070, 't': 351.555854}",False
1080,144460,2024-03-08,5752.099999999995,1.0,1,0.0,-0.5049458572437665,True,123,149,272,"{'r': -0.504946, 'l': 1070, 't': 353.997663}",False
1080,145530,2024-03-08,9533.99,1.0,2,0.0,-0.001152811452527938,True,115,138,253,"{'r': -0.001153, 'l': 1070, 't': 356.485479}",False
1080,146600,2024-03-08,8253.029999999992,0.65944713,1,0.0,-0.1416593317493772,True,127,153,280,"{'r': -0.141659, 'l': 1070, 't': 359.002746}",False
1080,147670,2024-03-08,11853.370000000014,0.99787486,1,0.0,0.22106692894690622,True,136,152,288,"{'r': 0.221067, 'l': 1070, 't': 361.481315}",False
1080,148740,2024-03-08,6074.479999999995,-1.0,2,0.0,-0.4447797477164071,True,126,161,287,"{'r': -0.44478, 'l': 1070, 't': 363.949938}",False
1080,149810,2024-03-08,5648.919999999996,-0.55325454,2,0.0,-0.5220808343146079,True,113,158,271,"{'r': -0.522081, 'l': 1070, 't': 366.433177}",False
1080,150880,2024-03-08,5751.940000000011,-1.0,2,0.0,-0.4922519844284255,True,99,141,240,"{'r': -0.492252, 'l': 1070, 't': 368.885356}",False
1080,151950,2024-03-08,5549.739999999993,-0.7741034,0,-0.01248596507773259,-0.5301145381619272,True,99,145,244,"{'r': -0.530115, 'l': 1070, 't': 371.355915}",False
1080,153020,2024-03-08,5867.9600000000055,0.87237537,1,0.0,-0.4720600396510342,True,117,156,273,"{'r': -0.47206, 'l': 1070, 't': 373.834534}",False
1080,154090,2024-03-08,10649.6,0.8591878,0,-0.012062566154868084,0.11191323799369048,True,122,152,274,"{'r': 0.111913, 'l': 1070, 't': 376.317973}",False
1080,155160,2024-03-08,9355.960000000008,-1.0,0,-0.01206310320795756,-0.012464213412067774,True,127,150,277,"{'r': -0.012464, 'l': 1070, 't': 378.780064}",False
1080,156230,2024-03-08,4467.540000000003,-1.0,2,0.0,-0.7541805144439013,True,123,162,285,"{'r': -0.754181, 'l': 1070, 't': 381.249719}",False
1080,157300,2024-03-08,5588.400000000003,-0.6415179,0,-0.012063698591389897,-0.5271869896837083,True,122,157,279,"{'r': -0.527187, 'l': 1070, 't': 383.691978}",False
1080,158370,2024-03-08,5760.490000000001,-1.0,2,0.0,-0.5003251033535002,True,131,165,296,"{'r': -0.500325, 'l': 1070, 't': 386.162279}",False
1080,159440,2024-03-08,8110.820000000003,0.31659856,2,0.0,-0.15942209107225436,True,138,160,298,"{'r': -0.159422, 'l': 1070, 't': 388.613631}",False
1080,160510,2024-03-08,6029.079999999996,-1.0,2,0.0,-0.4572200688881141,True,138,155,293,"{'r': -0.45722, 'l': 1070, 't': 391.091892}",False
